Deal ID,Company ID,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,Current Financing Status,Current Business Status,Universe,CEO PBId,CEO Education,Deal No.,Deal ID.1,Deal Date,Deal Size,Deal Size Status,Pre-money Valuation,Post Valuation,% Acquired,Raised to Date,VC Round,Price per Share,Series,Deal Type,Deal Class,Total Invested Equity,Deal Status,Business Status,Financing Status,# Investors,# New Investors,# Follow-on Investors,Current Employees,Native Currency of Deal,HQ Location,HQ Global Region,HQ Global Sub Region,Company City,Company Country,Year Founded
39969-55T,100020-70,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps, SaaS, TMT","big data, big data tech, data analytics, data coding, software engineering",Formerly VC-backed,Generating Revenue,Venture Capital,86322-97P,"DE (Doctor of Engineering), 2011, Computer Science; Master's, 2006, Computer Science",1,39969-55T,1/5/2015,0.61,Actual,3.47,4.08,15.0,0.61,1st Round,138.19,No Categorization,Seed Round,Venture Capital,0.61,Completed,Generating Revenue,Venture Capital-Backed,1.0,1.0,0,4.0,Euros (EUR),"Darmstadt, Germany",Europe,Western Europe,Darmstadt,Germany,2013.0
110654-56T,100137-34,Information Technology,Software,Application Software,"Application Software*, Social/Platform Software, Software Development Applications","CloudTech & DevOps, Mobile, SaaS, TMT","application development, cloud api, crosses platform, mobile app",Venture Capital-Backed,Generating Revenue,Venture Capital,86698-54P,,3,110654-56T,1/1/2017,14.11,Actual,-1.0,-1.0,0.0,19.11,2nd Round,0.0,Series B,Early Stage VC,Corporate,14.11,Completed,Generating Revenue,Venture Capital-Backed,1.0,1.0,0,40.0,Chinese Yuan RMB (CNY),"Beijing, China",Asia,East Asia,Beijing,China,2014.0
44054-83T,100394-02,Information Technology,Software,Application Software,"Application Software*, Business/Productivity Software, Communication Software","CloudTech & DevOps, Cybersecurity, Mobile, SaaS","android application, cloud security, cloud-based software, high-level data, ios application",Formerly VC-backed,Out of Business,Venture Capital,89360-38P,"MS (Master of Science), 1986, Chemical Engineering",6,44054-83T,12/1/2015,1.61,Actual,-1.0,-1.0,0.0,1.79,3rd Round,0.0,No Categorization,Seed Round,Venture Capital,1.61,Completed,Generating Revenue,Venture Capital-Backed,0.0,0.0,0,7.0,Euros (EUR),"Lund, Sweden",Europe,Northern Europe,Lund,Sweden,2011.0
75114-55T,100742-86,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Systems and Information Management","CloudTech & DevOps, SaaS, TMT","cloud infrastructure, hybrid cloud, multi-cloud strategy, multi-cloud systems, public cloud",Formerly Angel backed,Generating Revenue,Pre-venture,144326-80P,"BE (Bachelor of Engineering), 2001, Computer Science & Engineering; Degree, 1998, Computer Technology",1,75114-55T,2/12/2016,0.13,Actual,-1.0,-1.0,0.0,0.13,1st Round,0.0,No Categorization,Seed Round,Individual,0.13,Completed,Startup,Angel-Backed,1.0,1.0,0,2.0,India Rupees (INR),"Bangalore, India",Asia,South Asia,Bangalore,India,2014.0
135691-30T,100744-84,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","Big Data, CloudTech & DevOps, TMT","cloudtech & devops, cloudtech and devops, collaboration platform, data collaboration, enterprise collaboration platform, low coding / no coding, manage data, spreadsheet tools",Venture Capital-Backed,Generating Revenue,Venture Capital,41875-48P,"Duke University, Degree, 2009, Mechanical Engineering",7,135691-30T,9/14/2020,185.0,Actual,2400.0,2585.0,7.16,355.0,7th Round,56.54,Series D,Later Stage VC,Venture Capital,185.0,Completed,Generating Revenue,Venture Capital-Backed,6.0,1.0,5,335.0,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,United States,2012.0
113780-71T,100744-84,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","Big Data, CloudTech & DevOps, TMT","cloudtech & devops, cloudtech and devops, collaboration platform, data collaboration, enterprise collaboration platform, low coding / no coding, manage data, spreadsheet tools",Venture Capital-Backed,Generating Revenue,Venture Capital,41875-48P,"Duke University, Degree, 2009, Mechanical Engineering",6,113780-71T,11/15/2018,100.0,Actual,1000.0,1100.0,9.09,170.0,6th Round,26.73,Series C,Later Stage VC,Venture Capital,100.0,Completed,Generating Revenue,Venture Capital-Backed,12.0,10.0,2,335.0,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,United States,2012.0
102813-13T,100744-84,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","Big Data, CloudTech & DevOps, TMT","cloudtech & devops, cloudtech and devops, collaboration platform, data collaboration, enterprise collaboration platform, low coding / no coding, manage data, spreadsheet tools",Venture Capital-Backed,Generating Revenue,Venture Capital,41875-48P,"Duke University, Degree, 2009, Mechanical Engineering",5,102813-13T,3/15/2018,52.0,Estimated,100.0,152.0,34.21,70.0,5th Round,4.86,Series B,Later Stage VC,Venture Capital,52.0,Completed,Generating Revenue,Venture Capital-Backed,6.0,3.0,3,335.0,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,United States,2012.0
52596-64T,100744-84,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","Big Data, CloudTech & DevOps, TMT","cloudtech & devops, cloudtech and devops, collaboration platform, data collaboration, enterprise collaboration platform, low coding / no coding, manage data, spreadsheet tools",Venture Capital-Backed,Generating Revenue,Venture Capital,41875-48P,"Duke University, Degree, 2009, Mechanical Engineering",3,52596-64T,6/29/2015,7.6,Actual,22.4,30.0,25.33,10.6,3rd Round,1.35,Series A,Early Stage VC,Venture Capital,7.6,Completed,Generating Revenue,Venture Capital-Backed,17.0,10.0,7,335.0,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,United States,2012.0
46281-34T,100744-84,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","Big Data, CloudTech & DevOps, TMT","cloudtech & devops, cloudtech and devops, collaboration platform, data collaboration, enterprise collaboration platform, low coding / no coding, manage data, spreadsheet tools",Venture Capital-Backed,Generating Revenue,Venture Capital,41875-48P,"Duke University, Degree, 2009, Mechanical Engineering",2,46281-34T,2/25/2015,3.0,Actual,6.88,9.88,30.36,3.0,2nd Round,0.78,No Categorization,Early Stage VC,Venture Capital,3.0,Completed,Generating Revenue,Venture Capital-Backed,23.0,23.0,0,335.0,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,United States,2012.0
157575-34T,100818-91,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Media and Information Services (B2B), Software Development Applications","CloudTech & DevOps, Marketing Tech, SaaS, TMT","app development, automated referral marketing, marketing platform, referral marketing platform, referral marketing technology",Venture Capital-Backed,Generating Revenue,Venture Capital,90247-69P,"Osmania University, MCA (Master of Computer Applications), 2008, Computer Applications",6,157575-34T,10/13/2020,0.17,Actual,0.67,0.83,20.0,1.14,2nd Round,0.06,No Categorization,Seed Round,Venture Capital,0.17,Completed,Generating Revenue,Venture Capital-Backed,0.0,0.0,0,6.0,US Dollars (USD),"Wilmington, DE",Americas,North America,Wilmington,United States,2014.0
44392-42T,100818-91,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Media and Information Services (B2B), Software Development Applications","CloudTech & DevOps, Marketing Tech, SaaS, TMT","app development, automated referral marketing, marketing platform, referral marketing platform, referral marketing technology",Venture Capital-Backed,Generating Revenue,Venture Capital,90247-69P,"Osmania University, MCA (Master of Computer Applications), 2008, Computer Applications",5,44392-42T,9/8/2015,0.97,Actual,-1.0,-1.0,0.0,0.98,1st Round,0.0,No Categorization,Seed Round,Venture Capital,0.97,Completed,Generating Revenue,Venture Capital-Backed,25.0,25.0,0,6.0,US Dollars (USD),"Wilmington, DE",Americas,North America,Wilmington,United States,2014.0
98927-83T,100826-29,Information Technology,Software,Business/Productivity Software,Business/Productivity Software*,"CloudTech & DevOps, Mobile, SaaS, TMT","cloud application, cloud native, cloudtech, geolocation, google app engine, implementation platform, serverless platform",Angel-Backed,Generating Revenue,"M&A, Pre-venture",35610-04P,"Boston College, Graduate, 1983, Accounting and finance",5,98927-83T,12/29/2016,1.2,Estimated,4.8,6.0,19.99,2.9,Angel,0.09,Series A1,Angel (individual),Individual,1.2,Completed,Generating Revenue,Angel-Backed,0.0,0.0,0,40.0,US Dollars (USD),"Santa Barbara, CA",Americas,North America,Santa Barbara,United States,2009.0
47188-00T,100826-29,Information Technology,Software,Business/Productivity Software,Business/Productivity Software*,"CloudTech & DevOps, Mobile, SaaS, TMT","cloud application, cloud native, cloudtech, geolocation, google app engine, implementation platform, serverless platform",Angel-Backed,Generating Revenue,"M&A, Pre-venture",35610-04P,"Boston College, Graduate, 1983, Accounting and finance",3,47188-00T,3/19/2015,1.0,Actual,3.5,4.5,22.22,1.7,Angel,0.08,Series A,Angel (individual),Individual,1.0,Completed,Generating Revenue,Angel-Backed,0.0,0.0,0,40.0,US Dollars (USD),"Santa Barbara, CA",Americas,North America,Santa Barbara,United States,2009.0
88399-27T,100826-29,Information Technology,Software,Business/Productivity Software,Business/Productivity Software*,"CloudTech & DevOps, Mobile, SaaS, TMT","cloud application, cloud native, cloudtech, geolocation, google app engine, implementation platform, serverless platform",Angel-Backed,Generating Revenue,"M&A, Pre-venture",96100-12P,"University of California, San Diego, MS (Master of Science), Computer Science; University of California, San Diego, Ph.D. (Doctor of Philosophy), 2001, Computer Science",2,88399-27T,2/15/2015,0.92,Actual,-1.0,-1.0,0.0,0.7,No Round,0.0,No Categorization,Grant,Other,18.2029600523903,Completed,Generating Revenue,Corporation,1.0,1.0,0,40.0,US Dollars (USD),"Santa Barbara, CA",Americas,North America,Santa Barbara,United States,2009.0
45036-46T,100834-30,Information Technology,Software,Software Development Applications,"Internet Software, Software Development Applications*","CloudTech & DevOps, SaaS, TMT","api services, cloud application development, database consulting service, database platform, queries engine",Venture Capital-Backed,Generating Revenue,Venture Capital,91983-97P,"B.Tech (Bachelor of Technology), 2013, Computer Science",4,45036-46T,1/1/2015,17.205997603355303,Actual,-1.0,-1.0,0.0,36.71123722431411,No Round,0.0,No Categorization,Accelerator/Incubator,Other,18.2029600523903,Completed,Startup,Accelerator/Incubator Backed,2.0,2.0,0,4.0,US Dollars (USD),"Saint Louis, MO",Americas,North America,Saint Louis,United States,2014.0
52099-48T,100834-30,Information Technology,Software,Software Development Applications,"Internet Software, Software Development Applications*","CloudTech & DevOps, SaaS, TMT","api services, cloud application development, database consulting service, database platform, queries engine",Venture Capital-Backed,Generating Revenue,Venture Capital,91983-97P,"B.Tech (Bachelor of Technology), 2013, Computer Science",6,52099-48T,6/18/2015,0.05,Actual,-1.0,-1.0,0.0,0.12,No Round,0.0,No Categorization,Grant,Other,18.2029600523903,Completed,Startup,Accelerator/Incubator Backed,1.0,1.0,0,4.0,US Dollars (USD),"Saint Louis, MO",Americas,North America,Saint Louis,United States,2014.0
62103-70T,100834-30,Information Technology,Software,Software Development Applications,"Internet Software, Software Development Applications*","CloudTech & DevOps, SaaS, TMT","api services, cloud application development, database consulting service, database platform, queries engine",Venture Capital-Backed,Generating Revenue,Venture Capital,91983-97P,"B.Tech (Bachelor of Technology), 2013, Computer Science",5,62103-70T,2/21/2015,0.29,Actual,-1.0,-1.0,0.0,0.12,1st Round,0.0,No Categorization,Seed Round,Venture Capital,0.12,Completed,Startup,Accelerator/Incubator Backed,7.0,6.0,1,4.0,US Dollars (USD),"Saint Louis, MO",Americas,North America,Saint Louis,United States,2014.0
95118-58T,100834-30,Information Technology,Software,Software Development Applications,"Internet Software, Software Development Applications*","CloudTech & DevOps, SaaS, TMT","api services, cloud application development, database consulting service, database platform, queries engine",Venture Capital-Backed,Generating Revenue,Venture Capital,91983-97P,"B.Tech (Bachelor of Technology), 2013, Computer Science",8,95118-58T,2/8/2017,0.05,Actual,-1.0,-1.0,0.0,0.2,No Round,0.0,No Categorization,Accelerator/Incubator,Other,0.05,Completed,Generating Revenue,Venture Capital-Backed,1.0,1.0,0,4.0,US Dollars (USD),"Saint Louis, MO",Americas,North America,Saint Louis,United States,2014.0
140296-42T,100834-30,Information Technology,Software,Software Development Applications,"Internet Software, Software Development Applications*","CloudTech & DevOps, SaaS, TMT","api services, cloud application development, database consulting service, database platform, queries engine",Venture Capital-Backed,Generating Revenue,Venture Capital,91983-97P,"B.Tech (Bachelor of Technology), 2013, Computer Science",7,140296-42T,7/4/2016,0.03,Actual,-1.0,-1.0,0.0,0.15,No Round,0.0,No Categorization,Accelerator/Incubator,Other,0.03,Completed,Startup,Venture Capital-Backed,1.0,1.0,0,4.0,US Dollars (USD),"Saint Louis, MO",Americas,North America,Saint Louis,United States,2014.0
130457-71T,101078-65,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Software Development Applications","CloudTech & DevOps, SaaS, TMT","product management platform, project management app, project management application, project management software, software development app, software development application, software development platform",Venture Capital-Backed,Generating Revenue,Venture Capital,59912-83P,"University of Michigan, BS (Bachelor of Science), 2001, Computer Engineering",4,130457-71T,1/23/2020,25.0,Actual,75.0,100.0,25.0,39.0,4th Round,0.63,Series B,Later Stage VC,Venture Capital,25.0,Completed,Generating Revenue,Venture Capital-Backed,6.0,4.0,2,70.0,US Dollars (USD),"New York, NY",Americas,North America,New York,United States,2014.0
98599-33T,101078-65,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Software Development Applications","CloudTech & DevOps, SaaS, TMT","product management platform, project management app, project management application, project management software, software development app, software development application, software development platform",Venture Capital-Backed,Generating Revenue,Venture Capital,59912-83P,"University of Michigan, BS (Bachelor of Science), 2001, Computer Engineering",3,98599-33T,12/12/2017,10.0,Actual,27.0,37.0,0.0,14.0,3rd Round,0.0,Series A,Early Stage VC,Venture Capital,4.0,Completed,Generating Revenue,Venture Capital-Backed,7.0,2.0,5,70.0,US Dollars (USD),"New York, NY",Americas,North America,New York,United States,2014.0
71893-18T,101078-65,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Software Development Applications","CloudTech & DevOps, SaaS, TMT","product management platform, project management app, project management application, project management software, software development app, software development application, software development platform",Venture Capital-Backed,Generating Revenue,Venture Capital,59912-83P,"University of Michigan, BS (Bachelor of Science), 2001, Computer Engineering",2,71893-18T,9/13/2016,2.0,Actual,12.5,14.5,0.0,4.0,2nd Round,0.0,Series 1,Seed Round,Venture Capital,2.0,Completed,Startup,Venture Capital-Backed,7.0,2.0,5,70.0,US Dollars (USD),"New York, NY",Americas,North America,New York,United States,2014.0
54013-69T,101078-65,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Software Development Applications","CloudTech & DevOps, SaaS, TMT","product management platform, project management app, project management application, project management software, software development app, software development application, software development platform",Venture Capital-Backed,Generating Revenue,Venture Capital,108583-39P,"BFA (Bachelor of Fine Arts), 2000, Painting",1,54013-69T,7/21/2015,2.0,Actual,6.5,8.5,0.0,2.0,1st Round,0.0,No Categorization,Seed Round,Venture Capital,2.0,Completed,Startup,Venture Capital-Backed,7.0,7.0,0,70.0,US Dollars (USD),"New York, NY",Americas,North America,New York,United States,2014.0
57326-77T,101127-61,Information Technology,Software,Software Development Applications,Software Development Applications*,"CloudTech & DevOps, EdTech, SaaS, TMT","classroom learning, coding editing, developer tools, html, java scripts",Angel-Backed,Startup,Pre-venture,113669-02P,"University of South Florida, Degree, 2005",1,57326-77T,9/10/2015,1.0,Actual,8.0,9.0,11.11,1.0,1st Round,1.0,No Categorization,Seed Round,Individual,1.0,Completed,Startup,Angel-Backed,3.0,3.0,0,3.0,US Dollars (USD),"Bend, OR",Americas,North America,Bend,United States,2015.0
88494-13T,101144-44,Information Technology,Software,Software Development Applications,"Other Software, Social/Platform Software, Software Development Applications*","CloudTech & DevOps, E-Commerce, Mobile, SaaS, TMT","app creation platform, app development, ecommerce web designing service, e-commere platform, online store app",Accelerator/Incubator Backed,Generating Revenue,Pre-venture,114269-23P,"Bachelor's, 2017, Marketing; University of Buenos Aires, Bachelor's, 2012",3,88494-13T,2/1/2017,0.04,Actual,-1.0,-1.0,0.0,0.05,No Round,0.0,No Categorization,Accelerator/Incubator,Other,18.2029600523903,Completed,Generating Revenue,Accelerator/Incubator Backed,1.0,1.0,0,40.0,US Dollars (USD),"Buenos Aires, Argentina",Americas,South America,Buenos Aires,Argentina,2014.0
115974-73T,101144-44,Information Technology,Software,Software Development Applications,"Other Software, Social/Platform Software, Software Development Applications*","CloudTech & DevOps, E-Commerce, Mobile, SaaS, TMT","app creation platform, app development, ecommerce web designing service, e-commere platform, online store app",Accelerator/Incubator Backed,Generating Revenue,Pre-venture,114266-71P,"Bachelor's, 2017, Marketing; University of Buenos Aires, Bachelor's, 2013",4,115974-73T,7/10/2017,0.02,Actual,-1.0,-1.0,0.0,0.07,No Round,0.0,No Categorization,Accelerator/Incubator,Other,0.02,Completed,Generating Revenue,Accelerator/Incubator Backed,1.0,1.0,0,40.0,Euros (EUR),"Buenos Aires, Argentina",Americas,South America,Buenos Aires,Argentina,2014.0
54556-66T,101148-94,Information Technology,IT Services,IT Consulting and Outsourcing,"Business/Productivity Software, IT Consulting and Outsourcing*, Software Development Applications","Artificial Intelligence & Machine Learning, CloudTech & DevOps, Internet of Things, SaaS, TMT","application development software provider, enterprise software system, internet of technology provider, network management service, software provider, telematics system",Formerly VC-backed,Generating Revenue,Venture Capital,108671-95P,"University of Genoa, BS (Bachelor of Science), 1971, Physics; University of Genoa, MS (Master of Science), 1972, Physics",2,54556-66T,4/26/2015,17.205997603355303,Actual,-1.0,-1.0,0.0,1.0,1st Round,0.0,No Categorization,Early Stage VC,Venture Capital,18.2029600523903,Completed,Generating Revenue,Venture Capital-Backed,1.0,1.0,0,15.0,US Dollars (USD),"Genova, Italy",Europe,Southern Europe,Genova,Italy,1979.0
94070-08T,101148-94,Information Technology,IT Services,IT Consulting and Outsourcing,"Business/Productivity Software, IT Consulting and Outsourcing*, Software Development Applications","Artificial Intelligence & Machine Learning, CloudTech & DevOps, Internet of Things, SaaS, TMT","application development software provider, enterprise software system, internet of technology provider, network management service, software provider, telematics system",Formerly VC-backed,Generating Revenue,Venture Capital,108671-95P,"University of Genoa, BS (Bachelor of Science), 1971, Physics; University of Genoa, MS (Master of Science), 1972, Physics",3,94070-08T,7/24/2015,0.06,Actual,-1.0,-1.0,0.0,1.0,No Round,0.0,No Categorization,Grant,Other,18.2029600523903,Completed,Generating Revenue,Angel-Backed,1.0,1.0,0,15.0,Euros (EUR),"Genova, Italy",Europe,Southern Europe,Genova,Italy,1979.0
82455-31T,101162-71,Information Technology,Software,Software Development Applications,"Application Software, Business/Productivity Software, Software Development Applications*","CloudTech & DevOps, TMT","application development agency, application development firm, software designer, software designer platform, software developer network, software developer platform, software tech",Venture Capital-Backed,Generating Revenue,Venture Capital,157023-28P,,1,82455-31T,1/1/2017,0.01,Actual,-1.0,-1.0,0.0,0.0,1st Round,0.0,No Categorization,Seed Round,Venture Capital,0.01,Completed,Startup,Venture Capital-Backed,2.0,2.0,0,6.0,Nigerian naira (NGN),"Lagos, Nigeria",Africa,Western Africa,Lagos,Nigeria,2014.0
119677-60T,101198-35,Information Technology,Software,Network Management Software,"Application Specific Semiconductors, Network Management Software*, Other Commercial Products","CloudTech & DevOps, Cybersecurity, Internet of Things, Mobile, TMT","quantum biometric, quantum cryptography, quantum cybersecurity, quantum encryption chips, quantum encryption technology",Venture Capital-Backed,Generating Revenue,Venture Capital,181207-45P,"MBA (Master of Business Administration); MS (Master of Science), Electronic Engineering",1,119677-60T,5/3/2017,0.29,Actual,1.96,2.08,6.09,0.29,1st Round,140.34,No Categorization,Seed Round,Venture Capital,0.13,Completed,Startup,Angel-Backed,1.0,1.0,0,40.0,British Pounds (GBP),"London, United Kingdom",Europe,Western Europe,London,United Kingdom,2014.0
102492-10T,101198-35,Information Technology,Software,Network Management Software,"Application Specific Semiconductors, Network Management Software*, Other Commercial Products","CloudTech & DevOps, Cybersecurity, Internet of Things, Mobile, TMT","quantum biometric, quantum cryptography, quantum cybersecurity, quantum encryption chips, quantum encryption technology",Venture Capital-Backed,Generating Revenue,Venture Capital,181207-45P,"MBA (Master of Business Administration); MS (Master of Science), Electronic Engineering",2,102492-10T,11/17/2017,17.205997603355303,Actual,-1.0,-1.0,0.0,0.29,No Round,0.0,No Categorization,Accelerator/Incubator,Other,18.2029600523903,Completed,Startup,Accelerator/Incubator Backed,1.0,1.0,0,40.0,Euros (EUR),"London, United Kingdom",Europe,Western Europe,London,United Kingdom,2014.0
119677-24T,101198-35,Information Technology,Software,Network Management Software,"Application Specific Semiconductors, Network Management Software*, Other Commercial Products","CloudTech & DevOps, Cybersecurity, Internet of Things, Mobile, TMT","quantum biometric, quantum cryptography, quantum cybersecurity, quantum encryption chips, quantum encryption technology",Venture Capital-Backed,Generating Revenue,Venture Capital,181207-45P,"MBA (Master of Business Administration); MS (Master of Science), Electronic Engineering",4,119677-24T,7/12/2019,3.39,Actual,-1.0,-1.0,0.0,3.67,2nd Round,0.0,No Categorization,Early Stage VC,Venture Capital,2.14,Completed,Generating Revenue,Venture Capital-Backed,2.0,1.0,1,40.0,Euros (EUR),"London, United Kingdom",Europe,Western Europe,London,United Kingdom,2014.0
131653-00T,101198-35,Information Technology,Software,Network Management Software,"Application Specific Semiconductors, Network Management Software*, Other Commercial Products","CloudTech & DevOps, Cybersecurity, Internet of Things, Mobile, TMT","quantum biometric, quantum cryptography, quantum cybersecurity, quantum encryption chips, quantum encryption technology",Venture Capital-Backed,Generating Revenue,Venture Capital,157519-63P,"MBA (Master of Business Administration); MS (Master of Science), Electronic Engineering",3,131653-00T,4/17/2019,17.205997603355303,Actual,-1.0,-1.0,0.0,0.29,No Round,0.0,No Categorization,Accelerator/Incubator,Other,18.2029600523903,Completed,Startup,Venture Capital-Backed,1.0,1.0,0,40.0,US Dollars (USD),"London, United Kingdom",Europe,Western Europe,London,United Kingdom,2014.0
131656-15T,101198-35,Information Technology,Software,Network Management Software,"Application Specific Semiconductors, Network Management Software*, Other Commercial Products","CloudTech & DevOps, Cybersecurity, Internet of Things, Mobile, TMT","quantum biometric, quantum cryptography, quantum cybersecurity, quantum encryption chips, quantum encryption technology",Venture Capital-Backed,Generating Revenue,Venture Capital,181207-45P,"MBA (Master of Business Administration); MS (Master of Science), Electronic Engineering",6,131656-15T,1/23/2020,17.205997603355303,Actual,-1.0,-1.0,0.0,3.83,No Round,0.0,No Categorization,Grant,Other,18.2029600523903,Completed,Generating Revenue,Venture Capital-Backed,1.0,1.0,0,40.0,US Dollars (USD),"London, United Kingdom",Europe,Western Europe,London,United Kingdom,2014.0
134001-64T,101198-35,Information Technology,Software,Network Management Software,"Application Specific Semiconductors, Network Management Software*, Other Commercial Products","CloudTech & DevOps, Cybersecurity, Internet of Things, Mobile, TMT","quantum biometric, quantum cryptography, quantum cybersecurity, quantum encryption chips, quantum encryption technology",Venture Capital-Backed,Generating Revenue,Venture Capital,181207-45P,"MBA (Master of Business Administration); MS (Master of Science), Electronic Engineering",5,134001-64T,11/26/2019,0.15,Actual,-1.0,-1.0,0.0,3.83,No Round,0.0,No Categorization,Accelerator/Incubator,Other,0.15,Completed,Generating Revenue,Venture Capital-Backed,1.0,1.0,0,40.0,British Pounds (GBP),"London, United Kingdom",Europe,Western Europe,London,United Kingdom,2014.0
69302-44T,101201-05,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","CloudTech & DevOps, SaaS, TMT","cloud native, cloud-based, cloudtech, deliver application, docker container technology, product development",Venture Capital-Backed,Generating Revenue,Venture Capital,133631-29P,,1,69302-44T,3/10/2015,17.205997603355303,Actual,-1.0,-1.0,0.0,36.71123722431411,1st Round,0.0,No Categorization,Early Stage VC,Venture Capital,18.2029600523903,Completed,Startup,Venture Capital-Backed,1.0,1.0,0,300.0,Chinese Yuan RMB (CNY),"Shanghai, China",Asia,East Asia,Shanghai,China,2014.0
69302-62T,101201-05,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","CloudTech & DevOps, SaaS, TMT","cloud native, cloud-based, cloudtech, deliver application, docker container technology, product development",Venture Capital-Backed,Generating Revenue,Venture Capital,133631-29P,,2,69302-62T,3/23/2016,10.0,Actual,-1.0,-1.0,0.0,10.0,2nd Round,0.0,Series A,Early Stage VC,Venture Capital,10.0,Completed,Generating Revenue,Venture Capital-Backed,2.0,1.0,1,300.0,US Dollars (USD),"Shanghai, China",Asia,East Asia,Shanghai,China,2014.0
132749-65T,101201-05,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","CloudTech & DevOps, SaaS, TMT","cloud native, cloud-based, cloudtech, deliver application, docker container technology, product development",Venture Capital-Backed,Generating Revenue,Venture Capital,133631-29P,,3,132749-65T,12/14/2017,17.205997603355303,Actual,-1.0,-1.0,0.0,10.0,3rd Round,0.0,Series A1,Early Stage VC,Venture Capital,18.2029600523903,Completed,Generating Revenue,Venture Capital-Backed,5.0,4.0,1,300.0,Chinese Yuan RMB (CNY),"Shanghai, China",Asia,East Asia,Shanghai,China,2014.0
132750-10T,101201-05,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","CloudTech & DevOps, SaaS, TMT","cloud native, cloud-based, cloudtech, deliver application, docker container technology, product development",Venture Capital-Backed,Generating Revenue,Venture Capital,133631-29P,,4,132750-10T,9/19/2018,14.61,Estimated,-1.0,-1.0,0.0,24.61,4th Round,0.0,Series B,Early Stage VC,Venture Capital,14.61,Completed,Generating Revenue,Venture Capital-Backed,8.0,3.0,5,300.0,Chinese Yuan RMB (CNY),"Shanghai, China",Asia,East Asia,Shanghai,China,2014.0
44660-62T,101212-21,Information Technology,Software,Software Development Applications,"Automation/Workflow Software, Social/Platform Software, Software Development Applications*","CloudTech & DevOps, TMT","cloud backend, coding, software development platform, software workflow, software workflow automation",Formerly VC-backed,Generating Revenue,Venture Capital,90980-47P,"Carnegie Mellon University, MS (Master of Science), 2002, Robotics; University of South Australia, BE (Bachelor of Engineering), Computer Systems Engineering",1,44660-62T,1/20/2015,2.8,Actual,5.68,8.48,33.04,2.8,1st Round,0.5,Series A,Early Stage VC,Venture Capital,2.8,Completed,Startup,Venture Capital-Backed,2.0,2.0,0,5.0,US Dollars (USD),"Seattle, WA",Americas,North America,Seattle,United States,2013.0
72673-39T,101295-28,Information Technology,Software,Software Development Applications,"Application Software, Software Development Applications*","CloudTech & DevOps, Internet of Things, Mobile, SaaS, TMT","application integration platform, cloud-based software service, connectivity product, device control platform, enterprise connecting software",Venture Capital-Backed,Generating Revenue,Venture Capital,139834-45P,"Florida Institute of Technology, BS (Bachelor of Science), 2006, Computer Engineering",2,72673-39T,10/4/2017,17.205997603355303,Estimated,-1.0,6.75,0.0,0.52,1st Round,0.0,No Categorization,Early Stage VC,Venture Capital,18.2029600523903,Completed,Generating Revenue,Venture Capital-Backed,2.0,2.0,0,18.0,US Dollars (USD),"Melbourne, FL",Americas,North America,Melbourne,United States,2014.0
50560-75T,101484-10,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Systems and Information Management","CloudTech & DevOps, SaaS, TMT","microservice infrastructure, microservices systems, software infrastructure, software infrastructure platform, web hosting",Venture Capital-Backed,Generating Revenue,Venture Capital,101281-06P,"University of Cologne, Degree, 2006",3,50560-75T,3/15/2015,1.22,Actual,-1.0,-1.0,0.0,2.33,2nd Round,0.0,No Categorization,Seed Round,Venture Capital,1.22,Completed,Generating Revenue,Venture Capital-Backed,7.0,4.0,3,24.0,US Dollars (USD),"Cologne, Germany",Europe,Western Europe,Cologne,Germany,2014.0
