Deal ID,Company ID,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,Current Financing Status,Current Business Status,Universe,CEO PBId,CEO Education,Deal No.,Deal ID.1,Deal Date,Deal Size,Deal Size Status,Pre-money Valuation,Post Valuation,% Acquired,Raised to Date,VC Round,Price per Share,Series,Deal Type,Deal Class,Total Invested Equity,Deal Status,Business Status,Financing Status,# Investors,# New Investors,# Follow-on Investors,Current Employees,Native Currency of Deal,HQ Location,HQ Global Region,HQ Global Sub Region,Company City,Company Country,Year Founded
53278-21T,53614-99,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","CloudTech & DevOps, Mobile, SaaS, TMT","aiops, application delivery, cloud native, cloudtech, cloudtech and devops, devops optimization software, devops software, software production management",Formerly VC-backed,Generating Revenue,"Debt Financed, Venture Capital",44746-84P,"Rensselaer Polytechnic, BS (Bachelor of Science), 1988, Computer and Systems Engineering",5,53278-21T,7/9/2015,4.24,Actual,89.03,93.28,4.55,24.45,5th Round,1.89,Series E1,Later Stage VC,Venture Capital,4.24,Completed,Generating Revenue,Venture Capital-Backed,0.0,0.0,0,120.0,US Dollars (USD),"San Jose, CA",Americas,North America,San Jose,United States,2002.0
28293-58T,53614-99,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Software Development Applications*","CloudTech & DevOps, Mobile, SaaS, TMT","aiops, application delivery, cloud native, cloudtech, cloudtech and devops, devops optimization software, devops software, software production management",Formerly VC-backed,Generating Revenue,"Debt Financed, Venture Capital",44746-84P,"Rensselaer Polytechnic, BS (Bachelor of Science), 1988, Computer and Systems Engineering",7,28293-58T,10/10/2016,12.0,Actual,75.72,87.72,12.44,42.64,7th Round,1.89,Series E,Later Stage VC,Venture Capital,12.0,Completed,Generating Revenue,Venture Capital-Backed,6.0,1.0,5,120.0,US Dollars (USD),"San Jose, CA",Americas,North America,San Jose,United States,2002.0
60539-23T,53713-36,Information Technology,Software,Database Software,"Database Software*, Software Development Applications","Big Data, CloudTech & DevOps, TMT","big data application, data integration, data provider, real time application",Formerly VC-backed,Generating Revenue,"Private Equity, Venture Capital",44251-30P,"Carnegie Mellon University, BS (Bachelor of Science), 2006, Electrical and Computer Engineering",6,60539-23T,11/5/2015,20.0,Actual,36.97,56.97,35.11,40.03,6th Round,0.89,Series B,Early Stage VC,Venture Capital,20.0,Completed,Generating Revenue,Venture Capital-Backed,4.0,2.0,2,55.0,US Dollars (USD),"Palo Alto, CA",Americas,North America,Palo Alto,United States,2011.0
49716-91T,53713-36,Information Technology,Software,Database Software,"Database Software*, Software Development Applications","Big Data, CloudTech & DevOps, TMT","big data application, data integration, data provider, real time application",Formerly VC-backed,Generating Revenue,"Private Equity, Venture Capital",44251-30P,"Carnegie Mellon University, BS (Bachelor of Science), 2006, Electrical and Computer Engineering",5,49716-91T,5/5/2015,17.205997603355303,Actual,-1.0,-1.0,0.0,20.03,5th Round,0.0,No Categorization,Early Stage VC,Venture Capital,18.2029600523903,Completed,Generating Revenue,Venture Capital-Backed,1.0,1.0,0,55.0,US Dollars (USD),"Palo Alto, CA",Americas,North America,Palo Alto,United States,2011.0
71996-50T,53713-36,Information Technology,Software,Database Software,"Database Software*, Software Development Applications","Big Data, CloudTech & DevOps, TMT","big data application, data integration, data provider, real time application",Formerly VC-backed,Generating Revenue,"Private Equity, Venture Capital",44251-30P,"Carnegie Mellon University, BS (Bachelor of Science), 2006, Electrical and Computer Engineering",7,71996-50T,6/23/2016,17.205997603355303,Estimated,-1.0,-1.0,0.0,40.03,7th Round,0.0,No Categorization,Early Stage VC,Venture Capital,18.2029600523903,Completed,Generating Revenue,Venture Capital-Backed,1.0,1.0,0,55.0,US Dollars (USD),"Palo Alto, CA",Americas,North America,Palo Alto,United States,2011.0
118543-60T,53750-53,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Media and Information Services (B2B)","Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps, SaaS","cloud native, data analytics, it operations, logging analytics, logging management, machine data, machine learning analytics technology, security analytics, security compliance",Formerly VC-backed,Generating Revenue/Not Profitable,"Publicly Listed, Venture Capital",46178-92P,"San Jose State University, MBA (Master of Business Administration), 2000, Marketing Strategy; University of California, Santa Barbara, BA (Bachelor of Arts), 1996, History",7,118543-60T,5/8/2019,110.0,Actual,1075.0,1185.0,9.28,345.5,7th Round,11.02,Series G,Later Stage VC,Venture Capital,110.0,Completed,Generating Revenue,Venture Capital-Backed,7.0,6.0,1,710.0,US Dollars (USD),"Redwood City, CA",Americas,North America,Redwood City,United States,2010.0
89766-10T,53750-53,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Media and Information Services (B2B)","Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps, SaaS","cloud native, data analytics, it operations, logging analytics, logging management, machine data, machine learning analytics technology, security analytics, security compliance",Formerly VC-backed,Generating Revenue/Not Profitable,"Publicly Listed, Venture Capital",46178-92P,"San Jose State University, MBA (Master of Business Administration), 2000, Marketing Strategy; University of California, Santa Barbara, BA (Bachelor of Arts), 1996, History",6,89766-10T,6/27/2017,75.0,Actual,575.0,650.0,11.54,235.5,6th Round,8.08,Series F,Later Stage VC,Venture Capital,75.0,Completed,Generating Revenue,Venture Capital-Backed,9.0,3.0,6,710.0,US Dollars (USD),"Redwood City, CA",Americas,North America,Redwood City,United States,2010.0
51051-25T,53750-53,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Media and Information Services (B2B)","Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps, SaaS","cloud native, data analytics, it operations, logging analytics, logging management, machine data, machine learning analytics technology, security analytics, security compliance",Formerly VC-backed,Generating Revenue/Not Profitable,"Publicly Listed, Venture Capital",46178-92P,"San Jose State University, MBA (Master of Business Administration), 2000, Marketing Strategy; University of California, Santa Barbara, BA (Bachelor of Arts), 1996, History",5,51051-25T,6/1/2015,80.0,Actual,400.0,480.0,16.67,160.5,5th Round,7.0,Series E,Later Stage VC,Venture Capital,80.0,Completed,Generating Revenue,Venture Capital-Backed,8.0,4.0,4,710.0,US Dollars (USD),"Redwood City, CA",Americas,North America,Redwood City,United States,2010.0
68181-85T,53821-45,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Human Capital Services","CloudTech & DevOps, HR Tech, Mobile, SaaS, TMT","candidate engagement platform, candidate engagement software, cloud-based video interview, hr software tools, mobile recruiting, recruitment automation, recruitment automation software, recruitment software",Formerly VC-backed,Generating Revenue,Venture Capital,40149-01P,"Cornell University, BS (Bachelor of Science), 2005, Applied Economics and Management; Harvard Business School, MBA (Master of Business Administration), 2012, General Management; Yale University, Degree",6,68181-85T,5/23/2016,5.0,Actual,11.0,16.0,31.25,10.7,5th Round,0.19,Series B,Later Stage VC,Venture Capital,5.0,Completed,Generating Revenue,Venture Capital-Backed,5.0,2.0,3,100.0,US Dollars (USD),"New York, NY",Americas,North America,New York,United States,2011.0
36376-39T,53821-45,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Human Capital Services","CloudTech & DevOps, HR Tech, Mobile, SaaS, TMT","candidate engagement platform, candidate engagement software, cloud-based video interview, hr software tools, mobile recruiting, recruitment automation, recruitment automation software, recruitment software",Formerly VC-backed,Generating Revenue,Venture Capital,40149-01P,"Cornell University, BS (Bachelor of Science), 2005, Applied Economics and Management; Harvard Business School, MBA (Master of Business Administration), 2012, General Management; Yale University, Degree",5,36376-39T,8/21/2015,2.5,Actual,8.5,11.0,22.73,5.7,4th Round,0.19,Series A1,Early Stage VC,Venture Capital,2.5,Completed,Generating Revenue,Venture Capital-Backed,5.0,4.0,1,100.0,US Dollars (USD),"New York, NY",Americas,North America,New York,United States,2011.0
98185-87T,53821-45,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Human Capital Services","CloudTech & DevOps, HR Tech, Mobile, SaaS, TMT","candidate engagement platform, candidate engagement software, cloud-based video interview, hr software tools, mobile recruiting, recruitment automation, recruitment automation software, recruitment software",Formerly VC-backed,Generating Revenue,Venture Capital,40149-01P,"Cornell University, BS (Bachelor of Science), 2005, Applied Economics and Management; Harvard Business School, MBA (Master of Business Administration), 2012, General Management; Yale University, Degree",7,98185-87T,10/16/2018,6.6,Actual,-1.0,-1.0,0.0,17.3,6th Round,0.0,Series B1,Later Stage VC,Venture Capital,6.6,Completed,Generating Revenue,Venture Capital-Backed,3.0,1.0,2,100.0,US Dollars (USD),"New York, NY",Americas,North America,New York,United States,2011.0
