Workshop,Region/Country,Industry,Organization size,Participant ID,Race,Gender,Orientation,Age,Disability,Years in company,Satisfaction,Staff level,Staff type,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,524,asian,male,heterosexual,40+,skip,0,2,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,525,white,male,heterosexual,40+,empty,0,2,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,526,white,female,heterosexual,40+,none,0,0,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,527,,female,heterosexual,50+,empty,0,-1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,528,asian,female,heterosexual,50+,visible,0,-1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,529,white,female,heterosexual,30+,visible,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,530,black,male,heterosexual,30+,none,0,2,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,531,white,female,empty,70+,invisible,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,532,asian,skip,heterosexual,50+,both,0,2,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,533,black,female,heterosexual,40+,none,0,-1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,534,white,female,heterosexual,30+,invisible,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,535,Jew,female,heterosexual,50+,both,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,536,white,male,gay,30+,visible,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,537,hispanic,female,heterosexual,40+,none,0,1,,,,,,,,,,,,,,,,,,
002,US,"Legal, nonprofit",9000+,538,white,female,skip,40+,none,0,2,,,,,,,,,,,,,,,,,,
003,US,Various,,378,white,female,skip,30+,invisible,0,1,,,,,,,,,,,,,,,,,,
003,US,Various,,385,middle-eastern,female,bisexual,30+,invisible,2,1,,,,,,,,,,,,,,,,,,
003,US,Various,,444,asian,female,heterosexual,40+,none,14,2,,,,,,,,,,,,,,,,,,
003,US,Various,,445,white,male,heterosexual,40+,none,1,0,,,,,,,,,,,,,,,,,,
003,US,Various,,446,white,unicorn,skip,empty,empty,0,2,,,,,,,,,,,,,,,,,,
003,US,Various,,449,other,female,heterosexual,30+,none,3,empty,,,,,,,,,,,,,,,,,,
003,US,Various,,450,empty,empty,empty,empty,empty,0,empty,,,,,,,,,,,,,,,,,,
003,US,Various,,451,white,female,bisexual,30+,none,2,1,,,,,,,,,,,,,,,,,,
004,US,Medical,,455,white,female,heterosexual,30+,,0,-2,,,,,,,,,,,,,,,,,,
004,US,Medical,,456,middle-eastern,female,heterosexual,30+,visible,0,1,,,,,,,,,,,,,,,,,,
004,US,Medical,,457,,empty,empty,empty,empty,0,empty,,,,,,,,,,,,,,,,,,
004,US,Medical,,458,asian,female,heterosexual,30+,skip,0,1,,,,,,,,,,,,,,,,,,
004,US,Medical,,459,hispanic,female,heterosexual,40+,visible,0,1,,,,,,,,,,,,,,,,,,
004,US,Medical,,460,white,female,heterosexual,40+,empty,0,1,,,,,,,,,,,,,,,,,,
004,US,Medical,,461,white,female,empty,30+,empty,0,empty,,,,,,,,,,,,,,,,,,
004,US,Medical,,462,white,female,heterosexual,30+,empty,0,skip,,,,,,,,,,,,,,,,,,
004,US,Medical,,463,black,female,heterosexual,20+,empty,0,1,,,,,,,,,,,,,,,,,,
004,US,Medical,,464,white,male,heterosexual,30+,skip,0,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,387,indian,empty,empty,empty,empty,0,empty,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,389,white,female,heterosexual,50+,none,25,2,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,390,white,female,heterosexual,50+,invisible,14,0,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,391,empty,empty,empty,empty,empty,0,empty,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,392,white,female,heterosexual,40+,none,4,0,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,393,white,female,heterosexual,40+,none,9,-1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,394,white,male,heterosexual,40+,none,8,2,,,,,,,,,,,,,,,,,,
